state,statecode,year,time,makemodel,evtype,vehiclepurchaseincentive_dummy,vehiclepurchaseincentive_amount,homechargersubsidy_dummy,homechargersubsidy_amount,reducedvltregfee_dummy,vltregfee_amount,vltregfee_pvamount,hovaccess_dummy,hovaccess_amount,hovacess_pvamount,emissionexemption_dummy,emissionsexemption_amount,emissionsexemption_pvamount,annualfee_dummy,annualfee_amount,annualfee_pvamount,tou_dummy,designatedparking_dummy,freeparking_dummy,Subsidies_excludinghov,Index_includinghov,Subsidies,Index
Oregon,OR,2012,2012h1,Hyundai Sonata,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h1,Kia Soul Ev,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Mclaren P1,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h1,Mercedes-Benz B-Class,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Mitsubishi I-Miev,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Nissan Leaf,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Porsche 918,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h1,Porsche Cayenne,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h1,Porsche Panamera,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h1,Smartcar Fortwo,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Tesla Model S,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Tesla Model X,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Tesla Roadster,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Toyota Prius Plug-In,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h1,Toyota Rav4 Ev,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Toyota Scion,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h1,Volkswagen Golf,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Bmw Active E,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Bmw I3,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Bmw I3REx,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Bmw I8,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Bmw X5,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Cadillac Elr,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Chevrolet Spark,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Chevrolet Volt,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Fiat 500,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Fisker Karma,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Ford C-Max,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Ford Focus,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Ford Fusion,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Honda Accord,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Honda Fit,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Hyundai Sonata,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Kia Soul Ev,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Mclaren P1,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Mercedes-Benz B-Class,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Mitsubishi I-Miev,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Nissan Leaf,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Porsche 918,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Porsche Cayenne,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Porsche Panamera,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Smartcar Fortwo,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Tesla Model S,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Tesla Model X,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Tesla Roadster,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Toyota Prius Plug-In,phev,0,0,1,750,0,0,0,0,0,0,0,18.07013,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2012,2012h2,Toyota Rav4 Ev,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Toyota Scion,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2012,2012h2,Volkswagen Golf,bev,0,0,1,750,0,0,0,0,0,0,1,18.07013,29.02476,0,0,0,0,0,0,779.0248,0,779.0248,0
Oregon,OR,2013,2013h1,Bmw Active E,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Bmw I3,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Bmw I3REx,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Bmw I8,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Bmw X5,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Cadillac Elr,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Chevrolet Spark,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Chevrolet Volt,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Fiat 500,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Fisker Karma,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Ford C-Max,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Ford Focus,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Ford Fusion,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Honda Accord,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Honda Fit,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Hyundai Sonata,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Kia Soul Ev,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Mclaren P1,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Mercedes-Benz B-Class,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Mitsubishi I-Miev,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Nissan Leaf,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Porsche 918,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Porsche Cayenne,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Porsche Panamera,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Smartcar Fortwo,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Tesla Model S,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Tesla Model X,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Tesla Roadster,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Toyota Prius Plug-In,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h1,Toyota Rav4 Ev,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Toyota Scion,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h1,Volkswagen Golf,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Bmw Active E,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Bmw I3,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Bmw I3REx,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Bmw I8,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Bmw X5,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Cadillac Elr,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Chevrolet Spark,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Chevrolet Volt,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Fiat 500,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Fisker Karma,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Ford C-Max,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Ford Focus,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Ford Fusion,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Honda Accord,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Honda Fit,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Hyundai Sonata,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Kia Soul Ev,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Mclaren P1,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Mercedes-Benz B-Class,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Mitsubishi I-Miev,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Nissan Leaf,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Porsche 918,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Porsche Cayenne,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Porsche Panamera,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Smartcar Fortwo,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Tesla Model S,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Tesla Model X,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Tesla Roadster,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Toyota Prius Plug-In,phev,0,0,1,750,0,0,0,0,0,0,0,18.01418,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2013,2013h2,Toyota Rav4 Ev,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Toyota Scion,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2013,2013h2,Volkswagen Golf,bev,0,0,1,750,0,0,0,0,0,0,1,18.01418,28.93489,0,0,0,0,0,0,778.9349,0,778.9349,0
Oregon,OR,2014,2014h1,Bmw Active E,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Bmw I3,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Bmw I3REx,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Bmw I8,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Bmw X5,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Cadillac Elr,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Chevrolet Spark,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Chevrolet Volt,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Fiat 500,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Fisker Karma,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Ford C-Max,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Ford Focus,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Ford Fusion,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Honda Accord,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Honda Fit,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Hyundai Sonata,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Kia Soul Ev,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Mclaren P1,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Mercedes-Benz B-Class,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Mitsubishi I-Miev,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Nissan Leaf,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Porsche 918,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Porsche Cayenne,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Porsche Panamera,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Smartcar Fortwo,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Tesla Model S,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Tesla Model X,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Tesla Roadster,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Toyota Prius Plug-In,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h1,Toyota Rav4 Ev,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Toyota Scion,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h1,Volkswagen Golf,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Bmw Active E,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Bmw I3,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Bmw I3REx,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Bmw I8,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Bmw X5,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Cadillac Elr,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Chevrolet Spark,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Chevrolet Volt,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Fiat 500,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Fisker Karma,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Ford C-Max,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Ford Focus,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Ford Fusion,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Honda Accord,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Honda Fit,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Hyundai Sonata,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Kia Soul Ev,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Mclaren P1,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
Oregon,OR,2014,2014h2,Mercedes-Benz B-Class,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Mitsubishi I-Miev,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Nissan Leaf,bev,0,0,1,750,0,0,0,0,0,0,1,17.97546,28.87271,0,0,0,0,0,0,778.8727,0,778.8727,0
Oregon,OR,2014,2014h2,Porsche 918,phev,0,0,1,750,0,0,0,0,0,0,0,17.97546,0,0,0,0,0,0,0,750,0,750,0
